rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
1,"Begusarai, India",223,413,337,250,258,209,205,131,115,100,114,298,249,25.5125411,86.08833919362361
2,"Patna, India",212,354,297,225,230,169,183,82,100,84,136,402,277,25.6093239,85.1235252
3,"Saharsa, India",207,418,344,238,220,167,149,85,93,91,110,282,292,25.83307565,86.61437508111757
4,"New Delhi, India",205,325,244,167,181,175,124,70,110,91,210,405,352,28.64308585,77.21926705734865
5,"Noida, India",201,304,212,154,187,176,129,70,125,118,237,367,338,28.5706333,77.3272147
6,"Kashgar, China",197,283,175,288,285,184,99,106,135,126,118,206,355,39.4665981,75.9900135
7,"Ghaziabad, India",190,302,216,155,175,164,124,68,101,98,185,360,332,28.7749966,77.4586967071196
8,"Faridabad, India",186,295,210,149,155,143,118,72,100,93,198,356,337,28.4031478,77.3105561
9,"Aksu, China",185,210,141,285,412,105,84,76,85,100,103,210,406,41.1677575,80.2582136
10,"Purnea, India",182,398,305,218,187,109,101,57,72,70,131,252,280,25.7773601,87.4731227
11,"Meerut, India",180,279,251,156,170,157,105,40,85,84,204,334,295,29.0018557,77.76796714992041
12,"Bhagalpur, India",179,373,263,179,168,129,112,64,74,83,136,297,272,25.286135350000002,87.13042293057262
13,"Muzaffarpur, India",179,351,288,205,217,147,133,65,66,63,119,279,213,26.1482548,85.3316096785584
14,"Sonipat, India",179,231,194,142,167,166,114,72,112,112,212,330,290,28.9953758,77.0233627
15,"Dubrovytsya, Ukraine",174,6,-,4,172,306,338,286,150,172,300,182,170,,
16,"Birganj, Nepal",171,326,289,201,183,136,140,77,88,96,112,228,177,27.0135196,84.8763804
17,"Rajmahal, India",165,355,268,182,158,95,105,61,77,64,111,242,257,25.053055,87.8304516
18,"Muzaffarnagar, India",163,224,191,139,159,155,101,57,97,89,186,246,306,29.44969785,77.74293325807088
19,"Balurghat, India",161,376,299,187,163,94,98,48,63,61,103,211,227,25.2234352,88.7780654
